Power	media		Power
Sleep	media		Sleep
WakeUp	media		Wake Up

# ==================================================================================
# Legacy, Non-Standard and Special Keys
# Most of these come from older keyboards or specialized hardware.  Some
# (Hiragana, Katakana, Hyper, Super) are aliases for keys defined above
# under their modern names; they're seeded as separate items so legacy
# data referring to them resolves cleanly.
# ==================================================================================
Abort	symbol		Abort
Again	symbol		Again
Copy	symbol		Copy
Cut	symbol		Cut
Find	symbol		Find
Hiragana	symbol		Hiragana	ja_JP
Hyper	modifier		Hyper
Katakana	symbol		Katakana	ja_JP
Open	symbol		Open
Paste	symbol		Paste
Props	symbol		Props
Resume	symbol		Resume
Select	symbol		Select
Super	modifier		Super
Suspend	symbol		Suspend
Turbo	symbol		Turbo
Undo	symbol		Undo
Unidentified	symbol		Unidentified
